0,124,251
1,131,254
2,137,258
3,143,265
4,150,271
5,155,284
6,161,295
7,167,300
8,173,307
9,179,313
10,185,321
11,191,335
12,197,350
13,203,356
14,209,371
15,220,435
16,225,441
17,228,452
18,239,463
19,244,472
20,251,494
21,257,499
22,263,521
23,269,530
24,273,537
25,281,569
26,287,585
27,292,598
28,299,609
29,305,611
30,310,620
31,316,627
32,322,638
33,329,641
34,335,646
35,339,649
36,348,665
37,354,664
38,358,665
39,364,671
40,369,681
41,377,686
42,382,688
43,387,691
44,396,697
45,400,679
46,408,713
47,409,691
48,420,716
49,425,718
50,432,721
51,436,729
52,441,718
53,448,719
54,454,734
55,462,745
56,467,745
57,473,755
58,481,753
59,487,760
60,492,761
61,499,777
62,505,775
63,510,777
64,516,775
65,523,786
66,529,792
67,534,793
68,540,796
69,546,796
70,553,809
71,559,812
72,563,824
73,569,825
74,577,835
75,583,839
76,588,850
77,595,851
78,601,857
79,608,867
80,612,871
81,620,873
82,624,878
83,632,883
84,636,889
85,644,945
86,649,924
87,656,951
88,659,952
89,664,935
90,673,945
91,679,953
92,684,947
93,688,952
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
